2019年中国电子书阅读器市场分析报告-市场现状调查与发展商机研究|-|七、凭借内容优势方正大肆进军电子书终端市场 八、方正电子书阅读器市场的制胜战略 第三节 大唐电信科技股份有限公司 一、企业概况 二、企业主要经济指标分析 三、企业盈利能力分析 四|-|中国报告网|-|20小时23分钟前|-|https://news.tianyancha.com/detail/95f0cb412810449ace5907a403862fbb0ee1ea0b.html
爸爸和儿子的对话，太幽默了，佩服！|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/d2fcdd21e5f598afe18c0896b2fd070c0bd3efa9.html
从周三起随时可能触发反弹，本周有一个机会快来了！|-|由于指数表现实在太差，锁仓资金信心开始动摇，汇源通信炸板长阴坑人，中军角色的大唐电信平盘挣扎后被砸向深水区，全场高度铭普光磁涨停板反复开合。 而昨天的重灾区次新股|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/80e165e571902b0a4aa9019894e90fae9a43a5f2.html
头条|5G商用牌照近期将发放最快或在本周|-| （ * 五 ） *产经观察 1.热点行业类 *多家公司回应5G进展 中兴通讯称按既定计划推进 大唐电信称还处于试验阶段** 多家公司回应5G进展，中兴通讯称按既定计划推进|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/cb80cdb3ab3ff9f0b26fa202948e57d8a20e72c9.html
刀锋｜最大的空头，可能回来抄底了！|-|由于指数表现实在太差，锁仓资金信心开始动摇，汇源通信炸板长阴坑人，中军角色的大唐电信平盘挣扎后被砸向深水区，全场高度铭普光磁涨停板反复开合。 而昨天的重灾区次新股|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/d71e320ef1e6a4ccbe9e1f74dc553f9059a3b1ec.html
六月份股市能否一飞冲天？稀土永磁+国产软件+芯片将成最大黑马|-|芯片问题必须攻克难关，这是一个马拉松，与时间赛跑，热点持续性将是长远的。 板块内：金力永磁、大唐电信、正海磁材、五矿稀土等个股表现良好。 2、国产软件+云计算 板块走势与芯片类似|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/59b3f100fc6eb5aeecfe31265b78341da2e2784f.html
800亿定增烟消云散，战略转型彻底放弃，紫光国微连错风口|-|该业务的市场护城河远没有其他系统级芯片高，国内同类型企业数量较多，比如大唐电信、上海科技等，甚至紫光国微市场份额上都已经不占优势了。进行产业链上游的延伸|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/22f13e82932b9365862762b802d50d7a0418c444.html
响铃周报|90后波场创始人孙宇晨拍下巴菲特午餐；5G牌照或在本周发放；阿里回应新增电子烟销售|-|中兴通讯表示，对5G牌照发放时间和相关手续并不清楚，但目前正在按既定计划积极推进5G相关工作。大唐电信回应称，5G商用目前由集团在承担具体工作，若发牌照也是给集团，目前公司5G还处于试验阶段|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/0473f0e52cb3d33cf615e39d4423945dfe941b40.html
8股特大单净流入资金超1亿元|-|300366| 创意信息| 11.65| -4.27| -1.89| 计算机 600198| 大唐电信| 15.47| -4.68| -1.74| 通信 300768| 迪普科技||-|证券时报网|-|13天前|-|https://news.tianyancha.com/detail/f67a25ae04fef0586f61d926cc4bdf9b1a0fd364.html
6月4日主力资金净流出334亿元|-|-3.49 002124 天邦股份 -26491.90 -9.97 600198 大唐电信 -26252.41 -4.68 000725 京东方Ａ -25352.42 -2.03|-|证券时报网|-|13天前|-|https://news.tianyancha.com/detail/53ad8f41f89601c202cb34989ffd54dbd043800b.html
【展会动态】5G公交到来氢燃料电池车转向商业化|-|能让城市公共交通更安全有序。” 据闫卫兵介绍，去年9月，金龙客车已联合大唐电信开展5G智能网联公交试运行，智慧城市之光包括车道保持、跟车行驶|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/93fd80abebc50b9acc6940e4f07c9726b59809f3.html
最全盘点∣80家在汉第二总部：有21家上市公司和17家独角兽|-|但旗下有多家上市公司。 重组而来的中国信科集团旗下有烽火通信、光迅科技、理工光科、长江通信、大唐电信和高鸿股份6家上市公司。其中，前4者是武汉本土成长起来的上市公司。|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/e390239a80ff1d81b69c6e36bfccfb42680a1047.html
CICV2019精彩回顾——V2X与协同式自动驾驶|-|车联网事业部常务副总经理 任世岩 大唐高鸿车联网事业部常务副总经理 任世岩介绍了大唐电信集团和烽火集团重组为中国信科的情况，以及大唐高鸿目前在车路协同|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/49ec6c939bf9e4c5b3c298cfe35d05da030aa004.html
雄鹰展翅E击长空|欢迎报读EE总裁班（第九期）营销特训营|-|摩托罗拉、微软（中国）、联想电脑、神州数码、方正科技、中国移动、中国电信、中国网通、中国医药集团、大唐电信、东方通信等数十家企业的销售管理咨询及相关系统培训项目。 往回顾： EE愿景·VISION|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/4e0f9f550caa334d80af8b3cf661d4798719d740.html
2019年中国数字微波通信行业分析报告-市场深度分析与投资前景研究|-|三、企业发展及战略分析 第八节 南京普天通信股份有限公司 一、企业简介 二、经营分析 第九节 大唐电信科技股份有限公司 一、企业简介 二、经营情况 三、企业战略发展方向 第十节 中国联通公司|-|中国报告网|-|13天前|-|https://news.tianyancha.com/detail/c49dede6cb45f71ec240b02555736ae7900d6330.html
6月4日短线股推荐！|-|温馨提示： 所荐个股仅作参考之用，不作为投资建议！ 午盘牛股： 6月4日午盘股：无 大唐电信，昨日下午涨停未封住，今日上午5G通信整体走势还可以，分时看也大有盈利机会|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/e474ac5132b51b3f93f92d621f6a1679eb16d709.html
【国元资讯早班车】第3批科创板拟上市企业6月13日上会|-|倾向于换手退出。周一蓝筹整体表现强于小票和概念。盘中消息比较多，但5G芯片这块延续性很差，大唐电信在1点半关口直接顶板，尾盘却杀跌。周五的次新周一同样杀跌，只有迪普恒铭达两只独苗。 此外|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/079d0175418259f0f11cae612127dea90b0348f2.html
5G牌照即将发放万亿级市场大门将开启|-| 昨天，5G相关概念股已经上演集体狂欢，紫光国微、铭普光磁、广电网络等均以涨停收盘，中兴通讯和大唐电信等大盘股的涨幅也在5%上下|-|长城网|-|13天前|-|https://news.tianyancha.com/detail/fc916a316832464e780e0ee169a165b0d0a8bd1e.html
40亿主力资金买入20股，有你的股票吗？（名单）|-|今日DDE主力大单流出超过2亿的股票有14只，分别是：平安银行、盛和资源、中科三环、大唐电信、招商南油、力源信息、中国平安、贵州茅台、伊利股份、金力永磁、正邦科技|-|财富动力网|-|14天前|-|https://news.tianyancha.com/detail/83e3263cee57450f1423d1bf3d41ba72b7d37774.html
金|融|头|条|2019.6.4星期二|-|爱回收收购京东二手交易平台拍拍。*** * 8、多家公司回应5G进展，中兴通讯称按既定计划推进，大唐电信称还处于试验阶段。（一财）*** 资 【】券商公募等机构私募产品备案新规出台|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/0dfe888c9171da1c7fe39871f524fb3e3cf0dadb.html
【赢家日报】震荡行情下，该如何把握确定性机会？|-|中兴通讯均表示，对5G牌照发放时间和相关手续并不清楚，但目前正在按既定计划积极推进5G相关工作。大唐电信回应称，5G商用目前由集团在承担具体工作，若发牌照也是给集团|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/eff9ce40d2fc4526a07bec78c5a886d833cc2010.html
【银河头条】证监会发布风险警示　纳指大跌金价再创近期新高|-|中兴通讯表示，对5G牌照发放时间和相关手续并不清楚，但目前正在按既定计划积极推进5G相关工作。大唐电信回应称，5G商用目前由集团在承担具体工作，若发牌照也是给集团|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/b81e3d5f668ab623a548120941d2319e5eb3e002.html
44亿北向资金逆势净流入A股本月有望迎转机？|-|但整体流露出“底气不足”的弱势迹象。 以5G概念板块来看，受近期发放5G商用牌照消息刺激，午后大唐电信（16.230, 0.70, 4.51%）（600198.SZ）一度封板，深南电路|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/b3edd4c2a408de95b7ca38f240c598bdbcfda70c.html
5G商用牌照最快将于本周发放，价格不高于4G套餐；李国庆进军知识付费；苹果推出新款MacPro，最高配备28核处理器……|-|中兴通讯表示，对5G牌照发放时间和相关手续并不清楚，但目前正在按既定计划积极推进5G相关工作。大唐电信回应称，5G商用目前由集团在承担具体工作，若发牌照也是给集团，目前公司5G还处于试验阶段|-|和讯科技|-|14天前|-|https://news.tianyancha.com/detail/ea2942d0fc4ce15037621d9735c4d76a09d86eda.html
【市场观察】监管稳信心，北上重流入|-|工信部表示，近期将发放5G商用牌照，我国将正式进入5G商用元年。受此消息催化，5G板块持续拉升，大唐电信等多股涨停。此外，发改委盘中印发《国产婴幼儿配方乳粉提升行动方案》，乳业股闻风异动|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/d8d550bd0af8b0215b8133f306ef833a29419185.html
迅视早知道：耐心等待大盘方向选择！|-|8、多家公司回应5G进展 中兴通讯称按既定计划推进 大唐电信称还处于试验阶段 9、北上资金净流入44亿元，贵州茅台获净买入3.83亿元 10|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/df18c2bae412ae7aa6df0c3abccdc8025d894442.html
指数全天冲高回落创业板跌1%次新股集体跳水农业种植逆势大涨|-|广电网络直线封板，吴通控股、宜通世纪、奥维通信、贝通信等集体异动拉升。 5G板块持续走强，大唐电信封板，吴通控股大涨8%，高斯贝尔、奥维通信、华星创业等纷纷走强。 乳业板块异动|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/caece68720c4495b9e27ea2ea7167e01a06003b0.html
【股市分析】A股市场冲高回落5G概念爆发|-|但最终反弹无力，沪指收绿。 受5G商用牌照近期发放消息影响，大盘在5G概念股带领下一度翻红。大唐电信一度涨停，中兴通讯等直线拉升。农业股持续爆发，龙头敦煌种业五连板，登海种业、西部牧业涨停|-|长城网|-|14天前|-|https://news.tianyancha.com/detail/dd17468fe93b2b1eb7532c603ead8340bf1f797a.html
迪普科技能否引导资金再次回流次新股？|-|而承接盘明显不足，导致市场高开品种大量下杀，指数再次高开低走，盘中虽然出现5G商用的消息，一度刺激大唐电信，有研新材等品种涨停，但尾盘在次新股和市场整体恐慌情绪较大的压力下，市场无功而返|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/a2b70409501770ab2cba93f6ba78791cf93cfb6e.html
【06.04申购】道指小涨,欧洲股指普涨.摩根士丹利：看好中国经济长期发展潜力!发改委印发《国产婴幼儿配方乳粉提升行动方案》!|-|但涨幅逐渐收窄，市场逐渐趋于稳定。 【家公司回应5G进展 中兴通讯称按既定计划推进 大唐电信称还处于试验阶段】 记者以投资者身份致电中兴通讯等企业，公司均表示，对发放时间|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/cce59dd08af08b2f9e4b81d5dc8f6e698299ba20.html
【银河头条】证监会发布风险警示　纳指大跌金价再创近期新高|-|中兴通讯表示，对5G牌照发放时间和相关手续并不清楚，但目前正在按既定计划积极推进5G相关工作。大唐电信回应称，5G商用目前由集团在承担具体工作，若发牌照也是给集团|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/70aa074a487f7bf0136a23f0ac2d6bbf8de77d21.html
独角兽早报|苹果发布iOS13；趣头条总编辑肖厚君已离职；京东领投爱回收超5亿美元融资|-|中兴通讯表示，对5G牌照发放时间和相关手续并不清楚，但目前正在按既定计划积极推进5G相关工作。大唐电信（600198）回应称，5G商用目前由集团在承担具体工作，若发牌照也是给集团|-|和讯科技|-|14天前|-|https://news.tianyancha.com/detail/88fb430e0cd72f3dde03f9da1371f861679088e2.html
汉石早播报丨2019.06.04星期二|-|13:00-15:00。 公要闻 多公司回应5G进展 中兴通讯称按既定计划推进 大唐电信称还处于试验阶段 据媒体消息，中兴通讯表示，对5G牌照发放时间和相关手续并不清楚|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/4edfdb0e63a3f648f1859bd20967f4cf53a5d026.html
5G牌照本周或发放！指数样本股大换血！教育部发布预警！|-| ● 沪金逆势收涨1.5%，领涨市场。 09 【家公司回应5G进展 中兴通讯称按既定计划推进 大唐电信称还处于试验阶段】 全球5G正在进入商用部署的关键期。 工信部今天表示|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/d22c714b630ab215452eab97970540f160e67db6.html
重要信号，外资又开始出手了！|-|，进一步引发高位股悲观情绪，于是有了尾盘的高位股加速跳水。 另外盘中除了敦煌种业还有个亮点，大唐电信午后上板带动5g走强，也带动铭普光磁走出天地板。上涨逻辑是盘中利好消息刺激|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/03dd654e729fa2a5a4693faefdfffe8db5f4d366.html
